temp_x_1,temp_x_2,temp_x_3,temp_x_4,temp_x_5,temp_x_6,temp_x_7,temp_x_8
0.9,0.05,0.706,0.255,0.113,0.609,0.507,0.75
0.903,0.067,0.69,0.271,0.126,0.589,0.473,0.754
0.916,0.086,0.667,0.292,0.14,0.565,0.448,0.759
0.929,0.096,0.653,0.305,0.147,0.549,0.432,0.707
0.943,0.102,0.634,0.317,0.15,0.533,0.428,0.643
0.948,0.103,0.626,0.321,0.149,0.528,0.43,0.588
0.954,0.103,0.606,0.33,0.147,0.516,0.437,0.545
0.956,0.103,0.592,0.335,0.145,0.509,0.442,0.495
0.963,0.102,0.556,0.348,0.139,0.489,0.455,0.476
0.966,0.102,0.53,0.358,0.136,0.475,0.463,0.437
0.972,0.103,0.489,0.374,0.132,0.452,0.475,0.433
0.977,0.104,0.46,0.383,0.13,0.44,0.482,0.396
0.977,0.105,0.417,0.371,0.133,0.456,0.472,0.386
0.976,0.105,0.392,0.359,0.136,0.473,0.462,0.425
0.979,0.106,0.342,0.362,0.136,0.47,0.463,0.424
0.983,0.107,0.299,0.373,0.133,0.453,0.472,0.41
0.977,0.108,0.261,0.385,0.13,0.435,0.478,0.433
0.976,0.11,0.223,0.4,0.126,0.414,0.486,0.453
0.974,0.114,0.194,0.413,0.127,0.396,0.486,0.487
0.976,0.124,0.166,0.428,0.133,0.378,0.482,0.52
0.981,0.145,0.139,0.451,0.149,0.358,0.476,0.503
0.985,0.155,0.112,0.467,0.154,0.341,0.48,0.467
0.99,0.169,0.079,0.488,0.163,0.319,0.483,0.452
0.991,0.186,0.059,0.503,0.177,0.307,0.477,0.417
0.988,0.205,0.048,0.515,0.194,0.3,0.467,0.455
0.984,0.188,0.038,0.508,0.177,0.303,0.489,0.408
0.981,0.155,0.04,0.488,0.147,0.312,0.508,0.414
0.974,0.127,0.046,0.469,0.122,0.323,0.526,0.436
0.97,0.106,0.049,0.456,0.103,0.33,0.543,0.473
0.97,0.08,0.044,0.442,0.079,0.333,0.562,0.501
0.97,0.052,0.03,0.431,0.05,0.33,0.584,0.491
0.973,0.031,0.001,0.43,0.027,0.317,0.607,0.483
0.97,0.027,0.002,0.427,0.024,0.319,0.607,0.537
0.966,0.022,0.004,0.422,0.02,0.322,0.607,0.606
0.961,0.022,0.004,0.421,0.02,0.323,0.605,0.664
0.941,0.022,0.019,0.412,0.023,0.334,0.591,0.715
0.93,0.022,0.033,0.406,0.025,0.343,0.581,0.76
0.908,0.024,0.064,0.392,0.032,0.363,0.559,0.758
0.885,0.026,0.096,0.377,0.039,0.383,0.536,0.762
0.861,0.027,0.127,0.363,0.045,0.403,0.514,0.765
0.835,0.029,0.162,0.347,0.052,0.425,0.489,0.765
0.806,0.032,0.201,0.331,0.06,0.447,0.46,0.768
0.776,0.035,0.24,0.316,0.069,0.467,0.43,0.762
0.743,0.04,0.281,0.3,0.079,0.489,0.4,0.762
0.718,0.042,0.313,0.287,0.086,0.507,0.379,0.762
0.69,0.045,0.347,0.274,0.094,0.525,0.357,0.759
0.657,0.051,0.388,0.262,0.104,0.542,0.329,0.756
0.623,0.057,0.429,0.252,0.114,0.558,0.305,0.761
0.589,0.062,0.469,0.243,0.123,0.572,0.283,0.757
0.556,0.067,0.505,0.237,0.13,0.581,0.264,0.758
0.524,0.071,0.54,0.234,0.136,0.584,0.247,0.759
0.491,0.077,0.574,0.237,0.143,0.582,0.232,0.76
0.459,0.084,0.606,0.249,0.148,0.568,0.226,0.76
